Taxón,Categoría NOM-059
Acianthera eximia,A
Acianthera hintonii,Pr
Acianthera unguicallosa,Pr
Acianthera violacea,Pr
Acineta barkeri,A
Amoana kienastii,P
Anathallis oblanceolata,A
Aspidogyne stictophylla,Pr
Barbosella prorepens,A
Barkeria dorotheae,A
Barkeria melanocaulon,A
Barkeria scandens,Pr
Barkeria shoemakeri,Pr
Barkeria skinneri,Pr
Barkeria strophinx,A
Barkeria whartoniana,Pr
Bletia urbana,A
Caularthron bilamellatum,Pr
Chysis bractescens,A
Chysis limminghei,A
Clowesia glaucoglossa,Pr
Clowesia rosea,A
Cochleanthes flabelliformis,Pr
Coelia densiflora,Pr
Comparettia tuerckheimii,A
Corallorhiza macrantha,Pr
Cryptarrhena lunata,Pr
Cuitlauzina candida,A
Cuitlauzina pendula,A
Cuitlauzina pygmaea,Pr
Cycnoches ventricosum,A
Cypripedium dickinsonianum,Pr
Cypripedium irapeanum,A
Cyrtochiloides ochmatochila,A
Dracula pusilla,Pr
Dryadella guatemalensis,Pr
Elleanthus hymenophorus,A
Encyclia adenocaula,A
Encyclia atrorubens,Pr
Encyclia lorata,Pr
Encyclia pollardiana,Pr
Encyclia tuerckheimii,Pr
Epidendrum alabastrialatum,Pr
Epidendrum alticola,A
Epidendrum cerinum,Pr
Epidendrum chloe,Pr
Epidendrum cnemidophorum,A
Epidendrum coronatum,Pr
Epidendrum cystosum,Pr
Epidendrum dorsocarinatum,Pr
Epidendrum dressleri,Pr
Epidendrum incomptoides,Pr
Epidendrum isthmi,Pr
Epidendrum pansamalae,A
Epidendrum skutchii,Pr
Epidendrum smaragdinum,Pr
Epidendrum sobralioides,A
Erycina crista-galli,Pr
Erycina pumilio,Pr
Eurystyles borealis,Pr
Fernandezia mexicana,Pr
Galeandra batemanii,A
Galeoglossum thysanochilum,Pr
Galeottia grandiflora,P
Galeottiella sarcoglossa,Pr
Gongora tridentata,Pr
Govenia tequilana,Pr
Guarianthe skinneri,A
Habenaria novemfida,Pr
Hagsatera brachycolumna,Pr
Ionopsis satyrioides,Pr
Jacquiniella gigantea,Pr
Kefersteinia tinschertiana,Pr
Lacaena bicolor,A
Laelia aurea,A
Laelia autumnalis,Pr
Laelia crawshayana,P
Laelia dawsonii,P
Laelia furfuracea,Pr
Laelia gouldiana,E
Laelia halbingeriana,Pr
Laelia speciosa,Pr
Laelia superbiens,A
Lankestariana abbreviata,Pr
Leochilus leiboldii,Pr
Lepanthes ancylopetala,Pr
Lepanthes guatemalensis,Pr
Lepanthes parvula,Pr
Lepanthopsis floripecten,Pr
Ligeophila clavigera,Pr
Lycaste lassioglossa,P
Lycaste skinneri,P
Lyroglossa pubicaulis,Pr
Macradenia brassavolae,Pr
Malaxis greenwoodiana,Pr
Malaxis hagsateri,Pr
Malaxis pandurata,Pr
Maxillaria alba,Pr
Maxillaria nasuta,Pr
Maxillaria oestlundiana,A
Maxillaria tonsoniae,Pr
Mexipedium xerophyticum,P
Mormodes maculata var. unicolor,A
Mormodes porphyrophlebia,A
Mormodes sanguineoclaustra,P
Mormodes sotoana,P
Mormodes uncia,P
Muscarella fimbriata,Pr
Nemaconia dressleriana,Pr
Nemaconia pellita,Pr
Oestlundia distantiflora,Pr
Oncidium endocharis,A
Oncidium ensatum,Pr
Oncidium exauriculatum,Pr
Oncidium guatemalenoides,A
Oncidium incurvum,A
Oncidium iricolor,A
Oncidium leucochilum,A
Oncidium mexicanum,Pr
Oncidium poikilostalix,P
Oncidium stelligerum,Pr
Oncidium suttonii,Pr
Oncidium tigrinum,A
Oncidium unguiculatum,A
Oncidium wentworthianum,Pr
Pelexia congesta,Pr
Phragmipedium exstaminodium,P
Phragmipedium humboldtii,P
Physogyne gonzalezii,Pr
Platystele caudatisepala,A
Platystele jungermannioides,A
Platystele repens,Pr
Platythelys venustula,Pr
Plectrophora alata,P
Pleurothallis nelsonii,Pr
Pleurothallis saccatilabia,Pr
Pleurothallopsis ujarrensis,Pr
Ponthieva campestris,Pr
Prosthechea abbreviata,Pr
Prosthechea citrina,Pr
Prosthechea karwinskii,A
Prosthechea mariae,A
Prosthechea neurosa,Pr
Prosthechea vagans,Pr
Prosthechea vitellina,Pr
Pseudogoodyera wrightii,Pr
Restrepia trichoglossa,A
Rhynchostele beloglossa,A
Rhynchostele cervantesii,A
Rhynchostele cordata,A
Rhynchostele ehrenbergii,A
Rhynchostele galeottiana,Pr
Rhynchostele londesboroughiana,A
Rhynchostele madrensis,A
Rhynchostele majalis,P
Rhynchostele pygmaea,Pr
Rhynchostele rossii,A
Rhynchostele uroskinneri,P
Rodriguezia dressleriana,Pr
Rossioglossum grande,P
Rossioglossum insleayi,A
Rossioglossum splendens,A
Rossioglossum williamsianum,P
Sarcoglottis cerina,Pr
Schiedeella nagelii,Pr
Sobralia lindleyana,Pr
Sobralia mucronata,Pr
Specklinia digitale,A
Specklinia glandulosa,Pr
Specklinia lateritia,Pr
Specklinia spectabilis,Pr
Spiranthes torta,Pr
Stanhopea ecornuta,A
Stanhopea oculata,A
Stanhopea tigrina,A
Stelis chihobensis,Pr
Stelis cobanensis,Pr
Stelis deregularis,Pr
Stelis nigriflora,Pr
Telipogon amoanus,A
Telipogon helleri,P
Teuscheria pickiana,Pr
Trichocentrum flavovirens,Pr
Trichocentrum hoegei,Pr
Trichocentrum stramineum,A
Trichopilia galeottiana,P
Trichopilia subulata,Pr
Trichosalpinx cedralensis,Pr
Vanilla planifolia,Pr
Warrea costaricensis,A
